#name_w_spin,actual_SSE,predicted_SSE
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,-2.173694640076441,-3.6579220311864447
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,-1.9760289899334404,-4.624956791904879
cr_2_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,-2.7083331602960787,-2.372839841526911
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,1.845506909834942,-1.1920306075480767
mn_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,-14.11144488004184,-14.635553455512309
cr_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,-6.681726480109093,-4.903506674218988
fe_2_misc_misc_misc_misc_misc_acetonitrile,-10.06651541955336,-9.862053405555343
mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,-15.54718775998392,-16.33691539669553
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl,-17.114080230094256,-15.48484780792387
mn_3_misc_misc_misc_misc_misc_misc,2.166792029879847,0.9067546616779509
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_hydrogensulfide_hydrogensulfide,-9.315385950094328,-7.628255728220211
mn_2_chloride_chloride_chloride_chloride_carbonyl_carbonyl,-21.57881387916613,-20.682293141180253
mn_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,-6.763302780331172,-4.121287446166207
fe_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,-10.473769410165955,-10.589888311938012
mn_3_ammonia_ammonia_ammonia_ammonia_phosphine_phosphine,-3.553589129945504,-4.7197603298536706
mn_2_water_water_water_water_water_water,-14.729542229694069,-14.706828585270614
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_acetonitrile,-8.330822759655186,-10.788810123960957
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,-12.4786638594558,-10.64257368429844
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,-5.170054889859337,-4.599714137466435
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_fluoride_fluoride,-15.002509080217669,-14.002090170235533
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_misc,-13.160767229802504,-10.617618672383742
fe_2_misc_misc_misc_misc_misc_carbonyl,-7.905370979730594,-9.542525027776719
cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc,-4.331701530263826,-3.382403278467791
cr_2_water_water_water_water_ammonia_ammonia,0.909261989915862,-3.0643420572087052
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,-6.162148200422145,-5.635222209489257
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc_misc,-10.445531460023233,-7.527528740169146
mn_3_misc_misc_misc_misc_acetonitrile_acetonitrile,2.6575048496396727,1.1091403853661177
fe_3_misc_misc_misc_misc_water_water,-10.975149899970184,-9.294445234922478
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,-0.4072539901845573,-0.2724673952388912
mn_3_phosphine_phosphine_phosphine_phosphine_phosphine_chloride,-0.2277861303523103,-0.4272626555575698
fe_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide,-6.209838959731023,-7.878761214487895
mn_3_water_water_water_water_fluoride_fluoride,-4.68561717008367,-4.456186836135657
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_ammonia,-4.967369160014373,-4.472829470700162
cr_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,-3.583082099799702,-3.3572535600778792
fe_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc_misc,-10.34199231064134,-9.590137109912575
mn_3_phosphine_phosphine_phosphine_phosphine_ammonia_ammonia,-2.922314070255206,-1.4933224873902873
cr_2_misc_misc_misc_misc_misc_misc,-1.3924446898373797,-1.9664975795185455
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_acetonitrile,-2.2885289700005296,-2.1131946875620997
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_phosphine,-15.239707859904154,-14.071053739023228
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,-3.537901379771092,-6.558096462418689
