#name_w_spin,actual_SSE,predicted_SSE
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,-0.5227158300357235,-0.6311225714107422
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,-2.9750249101221247,-4.630681857257514
cr_2_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,-3.5429214600437766,-3.5984741527117876
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,-5.952559859952551,-6.140202746993964
mn_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,-8.204065740117896,-8.433343675198557
cr_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,-4.103915399911516,-2.7548507806241105
fe_2_misc_misc_misc_misc_misc_acetonitrile,-10.725400919744663,-10.600485183718774
mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,-7.639306740116979,-8.232867121529125
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl,-12.297940979912084,-10.682622075612016
mn_3_misc_misc_misc_misc_misc_misc,-2.782379339966452,-3.419178313200973
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_hydrogensulfide_hydrogensulfide,-12.154868699987947,-11.717377282937377
mn_2_chloride_chloride_chloride_chloride_carbonyl_carbonyl,-16.290787109604643,-15.849688880833128
mn_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,-7.592243490021788,-6.3447266697749
fe_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,-7.887173189990557,-7.104531141527332
mn_3_ammonia_ammonia_ammonia_ammonia_phosphine_phosphine,-1.356049110214626,-2.2627084917603497
mn_2_water_water_water_water_water_water,-6.054843989908328,-7.263166582548365
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_acetonitrile,-5.872238580012667,-6.939560832213829
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,-9.57078252009157,-9.872504671506249
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,-7.120355970071753,-7.025506092346404
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_fluoride_fluoride,-6.223016669911772,-6.544900207432875
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_misc,-8.043423179952763,-7.255135333623912
fe_2_misc_misc_misc_misc_misc_carbonyl,-12.635541359915798,-12.17104039599326
cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc,-4.432730640222772,-4.113608120505887
cr_2_water_water_water_water_ammonia_ammonia,4.221259769971947,1.1642129602005298
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,-9.469753409847264,-9.270794999407372
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc_misc,-6.01091829001923,-5.315361724333343
mn_3_misc_misc_misc_misc_acetonitrile_acetonitrile,-2.584086180039055,-3.643968039274114
fe_3_misc_misc_misc_misc_water_water,-8.327685209877126,-7.005067841961136
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,-2.73594360008369,-2.3534196855289338
mn_3_phosphine_phosphine_phosphine_phosphine_phosphine_chloride,-0.5070280801466698,-1.7505980595251458
fe_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide,-3.9771583800888672,-4.7281579149257595
mn_3_water_water_water_water_fluoride_fluoride,-3.759412409853887,-2.546682231240993
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_ammonia,-7.189382069897482,-6.681184746603321
cr_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,-2.0714105099779854,-1.660549690874177
fe_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc_misc,-10.037649960054278,-10.88227978112991
mn_3_phosphine_phosphine_phosphine_phosphine_ammonia_ammonia,-1.8229165501773328,-0.7250213978841202
cr_2_misc_misc_misc_misc_misc_misc,-5.979542789955769,-6.132026807443253
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_acetonitrile,-3.6150851100756,-2.467553753485845
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_phosphine,-9.765310620028472,-9.314961947480697
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,-1.3259286300053144,-9.360379887912131
