#name_w_spin,metal,Oxidation,alpha_d_1,alpha_d_2,alpha_d_3,alpha_d_4,alpha_d_5,npa_metal,npa_c_1,npa_c_2,npa_c_3,npa_c_4,npa_c_5,npa_c_6,ap_1,ap_2,ap_3,ap_4,ap_5
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,fe,3,-0.72477,-0.72461,-0.6347,-0.57808,-0.55312,1.13634,-1.05123,-1.05287,-1.04914,-0.25186,-1.05153,-1.0542,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,mn,3,-0.71816,-0.71132,-0.71132,-0.67577,-0.55698,1.0352,-0.46133,-0.46128,-0.46106,-0.46095,-0.5075,0.49999,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112
cr_2_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,cr,2,-0.5476,-0.52918,-0.52508,-0.47026,-0.37743,0.28707,0.0625,0.06095,0.06158,0.06127,-0.2788,-0.2754,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,cr,2,-0.48608,-0.48597,-0.447,-0.39746,-0.28062,0.00849,0.00224,0.63036,0.58861,0.58853,0.58769,0.58762,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165
mn_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,mn,2,-0.27144,-0.27131,-0.25328,-0.19624,-0.15408,0.92267,-0.19453,-0.19579,-1.04515,-1.04493,-1.04504,-1.04542,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814
cr_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,cr,2,-0.4939,-0.47132,-0.47087,-0.42297,-0.29996,0.9119,-0.48042,-1.02832,-1.02825,-1.02861,-1.06343,0.42232,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165
fe_2_misc_misc_misc_misc_misc_acetonitrile,fe,2,-0.54314,-0.54293,-0.50303,-0.47263,-0.44309,0.60479,-0.45155,0.29086,0.28181,0.28159,0.28112,0.28133,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168
mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,mn,2,-0.52876,-0.52351,-0.51926,-0.4809,-0.47526,1.2218,-0.90365,-0.90355,-0.4985,-0.49845,-0.50719,-0.50731,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl,mn,2,-0.64164,-0.63787,-0.63543,-0.61902,-0.61545,0.75851,0.48727,-0.24335,-0.2386,-0.24754,-0.24363,-0.25154,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814
mn_3_misc_misc_misc_misc_misc_misc,mn,3,-0.69188,-0.69187,-0.60265,-0.50874,-0.40124,0.29843,0.37521,0.3752,0.37519,0.37503,0.27026,0.2702,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112
