#name_w_spin,actual_SSE,predicted_SSE
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,32.49628933586893,29.50294455140829
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,34.257138871719874,30.51263416558504
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,32.96418589219194,31.798606649041176
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride,28.001303428598472,26.415700929239392
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,29.559423308798262,19.207557793706656
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia_ammonia,28.291357376065747,20.916644422337413
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,30.2664890266294,29.62283580005169
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,15.493749008652957,14.43798690661788
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,22.566251065687656,18.810946244746447
co_3_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,40.49194017964873,21.501281298696995
co_3_acetonitrile_acetonitrile_water_water_water_water,21.18179457813796,19.045612944290042
co_3_ammonia_ammonia_ammonia_ammonia_acetonitrile_acetonitrile,39.592611672851554,21.174692323431373
co_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,26.53347596237248,26.73582466877997
co_3_ammonia_ammonia_ammonia_ammonia_water_water,15.877653351406238,23.015052188187838
co_3_misc_misc_misc_misc_water_water,18.12993106855645,32.500379333272576
co_3_misc_misc_water_water_water_water,22.69382384887208,21.925747606903315
co_3_water_water_water_water_acetonitrile_acetonitrile,17.08451195883764,21.386449931189418
co_3_water_water_water_water_ammonia_ammonia,12.1952426934558,21.907552111893892
co_3_water_water_water_water_carbonyl_carbonyl,16.290987913106616,20.079764287918806
co_3_water_water_water_water_fluoride_fluoride,-16.281248958028225,11.09718762896955
co_3_water_water_water_water_water_ammonia,15.285001531822369,22.055680776014924
co_3_water_water_water_water_water_carbonyl,17.141132186038206,13.405816165730357
co_3_water_water_water_water_water_fluoride,17.965046540993217,20.835894253104925
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,-30.12391875467546,-33.67396564222872
