#name_w_spin,metal,Oxidation,alpha_d_1,alpha_d_2,alpha_d_3,alpha_d_4,alpha_d_5,npa_metal,npa_c_1,npa_c_2,npa_c_3,npa_c_4,npa_c_5,npa_c_6,ap_1,ap_2,ap_3,ap_4,ap_5
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,co,3,-0.70081,-0.66576,-0.65584,-0.3755,-0.37016,0.89412,-0.44344,-0.44489,-0.44347,-0.44478,-0.44339,-0.44339,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,co,3,-0.71251,-0.6736,-0.6593,-0.38557,-0.38104,0.93183,-0.47003,-0.47077,-0.46853,-0.47043,-0.45803,-0.95486,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,co,3,-0.71964,-0.68878,-0.67027,-0.43774,-0.39745,0.68549,-0.44114,-0.45611,-0.45601,-0.45601,-0.45611,0.67303,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride,co,3,-0.57995,-0.5282,-0.52138,-0.25252,-0.25122,0.93148,-0.29324,-0.43031,-0.43006,-0.43015,-0.43022,-0.44481,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,co,3,-0.71692,-0.70765,-0.69248,-0.67441,-0.38587,0.96710,-0.45024,-0.46127,-0.46275,-0.47846,-0.47860,-0.79906,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia_ammonia,co,3,-0.7265,-0.72288,-0.68841,-0.66216,-0.3996,0.96363,-0.48934,-0.49052,-0.49109,-0.49189,-0.97083,-0.96912,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,co,3,-0.42725,-0.40902,-0.38747,-0.30894,-0.15266,0.50372,-0.37099,-0.37097,-0.37115,-0.37113,0.01763,0.01721,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,co,3,-0.44749,-0.41432,-0.41431,-0.37823,-0.35312,0.93066,-0.41231,-0.41273,-0.38739,-0.38750,-0.38737,-0.38748,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,co,3,-0.73545,-0.72728,-0.72488,-0.72406,-0.69469,1.03716,-0.47729,-0.48386,-0.51210,-0.51134,-0.79240,-0.79120,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,co,3,-0.82332,-0.75598,-0.75108,-0.70406,-0.69444,1.02924,-0.53549,-0.53527,-0.99827,-0.99655,-1.00119,-0.99846,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_acetonitrile_acetonitrile_water_water_water_water,co,3,-0.81779,-0.80053,-0.77785,-0.77551,-0.75095,1.16305,-0.53526,-0.54129,-0.81867,-0.86071,-0.83633,-0.82760,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_ammonia_ammonia_ammonia_ammonia_acetonitrile_acetonitrile,co,3,-0.82446,-0.75551,-0.75193,-0.71081,-0.68574,1.02360,-0.53578,-0.53578,-0.99797,-0.99804,-0.99537,-0.99544,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,co,3,-0.9378,-0.93513,-0.88435,-0.76916,-0.7358,1.13295,-1.00077,-1.02501,-1.02738,-1.03118,-1.02954,-0.87948,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
co_3_ammonia_ammonia_ammonia_ammonia_water_water,co,3,-0.94344,-0.89977,-0.85468,-0.79538,-0.74841,1.16632,-0.85484,-0.85488,-1.02911,-1.02910,-1.02924,-1.02923,0.10754713999995147,0.16999379999992925,0.4691007599999466,3.535931779999828,6.848655710000003
