#name_w_spin,actual_SSE,predicted_SSE
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,32.49628933586893,32.458480635358
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,34.257138871719874,35.74781957652999
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,32.96418589219194,41.306295026780845
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride,28.001303428598472,21.991140413734456
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,29.559423308798262,26.114648651162952
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia_ammonia,28.291357376065747,38.13689418613444
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,30.2664890266294,32.87754735992712
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,15.493749008652957,7.204194896407444
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,22.566251065687656,16.676291488699007
co_3_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,40.49194017964873,40.02672954028958
co_3_acetonitrile_acetonitrile_water_water_water_water,21.18179457813796,16.965758500580705
co_3_ammonia_ammonia_ammonia_ammonia_acetonitrile_acetonitrile,39.592611672851554,40.02672954028958
co_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,26.53347596237248,25.960078207408515
co_3_ammonia_ammonia_ammonia_ammonia_water_water,15.877653351406238,18.39473352070854
co_3_misc_misc_misc_misc_water_water,18.12993106855645,35.52745440723584
co_3_misc_misc_water_water_water_water,22.69382384887208,20.72458287347672
co_3_water_water_water_water_acetonitrile_acetonitrile,17.08451195883764,16.965758500580705
co_3_water_water_water_water_ammonia_ammonia,12.1952426934558,11.439615552289979
co_3_water_water_water_water_carbonyl_carbonyl,16.290987913106616,18.778215600448675
co_3_water_water_water_water_fluoride_fluoride,-16.281248958028225,-7.017165233306059
co_3_water_water_water_water_water_ammonia,15.285001531822369,10.873403614607923
co_3_water_water_water_water_water_carbonyl,17.141132186038206,11.321611917594055
co_3_water_water_water_water_water_fluoride,17.965046540993217,6.138360453297537
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,-30.12391875467546,-31.909883710712393
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,-31.93282928152836,-31.599377279631426
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc,-34.368785451026085,-33.41313678015695
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,-29.32466554287934,-35.81005248389647
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia_ammonia,-33.73252168651665,-29.558522566694364
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl_carbonyl,-25.203826198182856,-33.550179595923964
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_hydrogensulfide_hydrogensulfide,-41.49910000477912,-40.15836630436206
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc_misc,-32.3195385942806,-34.73065748497595
