#name_w_spin,Oxidation,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile,3,224.1340,441.5964,804.0000,763.4160,1473.0000,3420.0000,4170.0000,4716.0000,37.0000,72.0000,126.0000,108.0000,198.0000,432.0000,468.0000,600.0000,14.5416,35.6412,50.6322,56.2824,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,34.2912,28.7640,28.7640,729.0000,1134.0000,972.0000,972.0000,6.0000,6.0000,72.0000,72.0000,144.0000,1.5876,5.6700,5.8212,5.8212,-6.9600,-4.0200,-4.0200,120.0000,126.0000,126.0000,24.0000,24.0000,12.0000,3.0600,2.9400,2.9400
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,3,211.1290,419.5554,770.0640,836.8200,1401.0000,3270.0000,3888.0000,4140.0000,35.0000,68.0000,122.0000,120.0000,190.0000,432.0000,492.0000,600.0000,13.3558,33.2560,48.6246,55.2270,30.2641,51.1485,53.6220,20.0640,88.0000,117.0000,66.0000,21.0000,5.0000,8.0000,10.0000,3.0000,18.0000,31.0000,16.0000,3.0000,1.5661,2.8576,2.2536,0.8325,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,9.2416,13.9080,3.8760,10.0320,49.0000,31.5000,21.0000,10.5000,2.0000,0.5000,1.5000,5.0000,5.5000,2.0000,1.5000,0.5625,0.7050,0.2888,0.4162,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,1.5050,0.2450,1.2600,9.5000,0.5000,9.0000,2.5000,-1.5000,0.0000,0.5600,-0.0100,0.5700,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,34.2912,36.3780,23.9700,729.0000,1134.0000,891.0000,810.0000,8.0000,5.0000,84.0000,78.0000,120.0000,1.5876,5.6700,6.2496,4.8510,-6.9600,-4.3100,-3.3500,120.0000,183.0000,105.0000,22.0000,35.0000,10.0000,3.0600,5.1200,2.4500
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,3,205.7035,395.1290,714.2464,728.2610,1449.0000,3270.0000,4082.0000,4430.0000,33.0000,64.0000,112.0000,100.0000,176.0000,388.0000,422.0000,520.0000,13.5084,32.7656,46.9956,52.5310,27.5513,39.8565,39.1020,20.0640,112.0000,144.0000,63.0000,21.0000,4.0000,6.0000,7.0000,3.0000,13.0000,23.0000,13.0000,3.0000,1.6424,2.5872,1.8429,0.8325,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,7.8720,8.2620,3.8760,10.0320,42.5000,45.0000,21.0000,10.5000,1.0000,0.5000,1.5000,1.0000,1.5000,2.0000,1.5000,0.5777,0.5698,0.2888,0.4162,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,-0.2000,0.2450,1.2600,-0.5000,0.5000,9.0000,-0.5000,-1.5000,0.0000,0.0100,-0.0100,0.5700,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,33.3700,30.4372,23.9700,729.0000,1107.0000,1026.0000,810.0000,6.0000,5.0000,72.0000,66.0000,120.0000,1.5876,5.6952,5.7708,4.8510,-6.4700,-4.9100,-3.3500,121.0000,124.0000,105.0000,24.0000,25.0000,10.0000,3.0400,2.9800,2.4500
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride,3,203.2078,382.9618,744.7840,660.1500,1430.0000,3336.0000,3860.0000,4050.0000,32.0000,62.0000,110.0000,90.0000,172.0000,372.0000,390.0000,480.0000,12.8867,31.4902,44.7060,46.5940,26.3035,31.0845,39.1020,20.0640,102.5000,96.0000,63.0000,21.0000,3.5000,5.0000,7.0000,3.0000,12.0000,22.0000,13.0000,3.0000,1.3316,2.0251,1.8429,0.8325,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,12.5410,3.8760,3.8760,10.0320,65.0000,21.0000,21.0000,10.5000,0.5000,0.5000,1.5000,0.5000,1.0000,2.0000,1.5000,0.5333,0.2888,0.2888,0.4162,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,0.2450,0.2450,1.2600,0.5000,0.5000,9.0000,-0.5000,-1.5000,0.0000,-0.0100,-0.0100,0.5700,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,36.0584,23.9700,23.9700,729.0000,1188.0000,810.0000,810.0000,5.0000,5.0000,66.0000,60.0000,120.0000,1.5876,5.6196,4.8510,4.8510,-7.9000,-3.3500,-3.3500,118.0000,105.0000,105.0000,25.0000,20.0000,10.0000,3.1000,2.4500,2.4500
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water,3,208.8810,411.2034,754.5920,780.1400,1415.0000,3314.0000,3900.0000,4130.0000,34.0000,66.0000,116.0000,110.0000,182.0000,408.0000,456.0000,560.0000,13.1893,32.6210,46.9946,52.2980,29.1401,46.2205,43.9420,20.0640,95.0000,112.0000,64.0000,21.0000,4.5000,7.0000,8.0000,3.0000,15.0000,26.0000,14.0000,3.0000,1.4829,2.5653,1.9798,0.8325,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,10.5376,11.4440,3.8760,10.0320,56.5000,29.0000,21.0000,10.5000,1.5000,0.5000,1.5000,2.5000,3.0000,2.0000,1.5000,0.5477,0.5589,0.2888,0.4162,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,1.4850,0.2450,1.2600,7.5000,0.5000,9.0000,0.5000,-1.5000,0.0000,0.3500,-0.0100,0.5700,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,35.0432,32.2420,23.9700,729.0000,1161.0000,864.0000,810.0000,7.0000,5.0000,78.0000,72.0000,120.0000,1.5876,5.6448,5.7834,4.8510,-7.3600,-3.9900,-3.3500,119.0000,157.0000,105.0000,23.0000,30.0000,10.0000,3.0800,4.2300,2.4500
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia_ammonia,3,198.1240,397.5144,736.1280,910.2240,1329.0000,3120.0000,3606.0000,3564.0000,33.0000,64.0000,118.0000,132.0000,182.0000,432.0000,524.0000,608.0000,12.1700,30.8708,46.6170,54.1716,23.7616,40.1280,29.0400,0.0000,52.0000,42.0000,6.0000,0.0000,4.0000,6.0000,6.0000,0.0000,12.0000,18.0000,6.0000,0.0000,0.9732,1.6650,0.8214,0.0000,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,9.2416,20.0640,0.0000,0.0000,49.0000,21.0000,0.0000,0.0000,3.0000,0.0000,0.0000,9.0000,9.0000,0.0000,0.0000,0.5625,0.8325,0.0000,0.0000,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,2.5200,0.0000,0.0000,18.0000,0.0000,0.0000,6.0000,0.0000,0.0000,1.1400,0.0000,0.0000,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,34.2912,43.9920,19.1760,729.0000,1134.0000,810.0000,648.0000,10.0000,4.0000,96.0000,84.0000,96.0000,1.5876,5.6700,6.6780,3.8808,-6.9600,-4.6000,-2.6800,120.0000,240.0000,84.0000,20.0000,46.0000,8.0000,3.0600,7.3000,1.9600
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,3,182.0890,344.5816,621.9650,667.8256,1395.0000,3096.0000,3888.0000,4000.0000,29.0000,56.0000,98.0000,92.0000,154.0000,344.0000,376.0000,440.0000,12.5344,29.9516,43.4606,49.0780,15.7441,15.5040,0.0000,0.0000,85.0000,84.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,1.1554,1.1550,0.0000,0.0000,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,6.5025,7.7520,0.0000,0.0000,36.0000,42.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.5929,0.5775,0.0000,0.0000,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,-0.4900,0.0000,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,32.4488,30.6064,19.1760,729.0000,1080.0000,1026.0000,648.0000,6.0000,4.0000,72.0000,60.0000,96.0000,1.5876,5.7204,5.7708,3.8808,-5.9800,-5.0000,-2.6800,122.0000,124.0000,84.0000,24.0000,26.0000,8.0000,3.0200,2.9800,1.9600
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,3,182.2816,324.3272,687.3352,547.2960,1387.0000,3252.0000,3558.0000,3336.0000,27.0000,52.0000,94.0000,72.0000,146.0000,312.0000,314.0000,368.0000,11.2318,27.3392,38.7830,37.0288,15.8404,0.0000,0.0000,0.0000,81.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5041,0.0000,0.0000,0.0000,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,15.8404,0.0000,0.0000,0.0000,81.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5041,0.0000,0.0000,0.0000,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,37.8256,19.1760,19.1760,729.0000,1242.0000,648.0000,648.0000,4.0000,4.0000,60.0000,48.0000,96.0000,1.5876,5.5692,3.8808,3.8808,-8.8400,-2.6800,-2.6800,116.0000,84.0000,84.0000,26.0000,16.0000,8.0000,3.1400,1.9600,1.9600
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,3,193.6280,380.8104,705.5040,799.8240,1357.0000,3208.0000,3632.0000,3528.0000,31.0000,60.0000,106.0000,112.0000,166.0000,384.0000,446.0000,520.0000,11.8370,29.6008,43.3578,48.3160,21.5136,30.2720,9.6800,0.0000,66.0000,32.0000,2.0000,0.0000,3.0000,4.0000,2.0000,0.0000,6.0000,8.0000,2.0000,0.0000,0.8067,1.0804,0.2738,0.0000,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,11.8336,15.1360,0.0000,0.0000,64.0000,16.0000,0.0000,0.0000,2.0000,0.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.5329,0.5402,0.0000,0.0000,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,2.4800,0.0000,0.0000,14.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.7200,0.0000,0.0000,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,3.5344,35.7952,35.7200,19.1760,729.0000,1188.0000,756.0000,648.0000,8.0000,4.0000,84.0000,72.0000,96.0000,1.5876,5.6196,5.7456,3.8808,-7.7600,-3.9600,-2.6800,118.0000,188.0000,84.0000,22.0000,36.0000,8.0000,3.1000,5.5200,1.9600
co_3_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,3,172.1140,353.4324,668.2560,1057.0320,1185.0000,2820.0000,3042.0000,2412.0000,29.0000,56.0000,110.0000,156.0000,166.0000,432.0000,612.0000,648.0000,9.7984,26.1004,42.6018,52.0608,36.7666,62.1690,78.2040,40.1280,124.0000,192.0000,126.0000,42.0000,6.0000,10.0000,14.0000,6.0000,24.0000,44.0000,26.0000,6.0000,2.1590,4.0502,3.6858,1.6650,23.7616,40.1280,29.0400,0.0000,52.0000,42.0000,6.0000,0.0000,4.0000,6.0000,6.0000,0.0000,12.0000,18.0000,6.0000,0.0000,0.9732,1.6650,0.8214,0.0000,9.2416,7.7520,7.7520,20.0640,49.0000,42.0000,42.0000,21.0000,1.0000,1.0000,3.0000,1.0000,2.0000,4.0000,3.0000,0.5625,0.5775,0.5775,0.8325,9.2416,20.0640,0.0000,0.0000,49.0000,21.0000,0.0000,0.0000,3.0000,0.0000,0.0000,9.0000,9.0000,0.0000,0.0000,0.5625,0.8325,0.0000,0.0000,0.4900,0.4900,2.5200,1.0000,1.0000,18.0000,-1.0000,-3.0000,0.0000,-0.0200,-0.0200,1.1400,2.5200,0.0000,0.0000,18.0000,0.0000,0.0000,6.0000,0.0000,0.0000,1.1400,0.0000,0.0000,3.5344,34.2912,59.2200,9.5880,729.0000,1134.0000,648.0000,324.0000,14.0000,2.0000,120.0000,96.0000,48.0000,1.5876,5.6700,7.5348,1.9404,-6.9600,-5.1800,-1.3400,120.0000,354.0000,42.0000,16.0000,68.0000,4.0000,3.0600,11.6600,0.9800
