#name_w_spin,metal,ox,spin,B3LYP/SVP,B3LYP/TZVP,B3LYP/QZVP,CBS,PWPB95,CASPT2/CC
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,co,3,5,33.58055131,34.64231706,32.42659808,32.02507015,25.17256365,28.48016886
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,co,3,5,-3.091609993,-3.66403089,-3.940223141,-3.986815391,-4.98995952,-7.20193227
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc_misc,cr,2,5,10.97505577,10.43360877,10.11133218,10.05857677,4.42269048,-0.01192269
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_ammonia,cr,2,5,15.42804871,15.26292573,14.71786427,14.62971832,8.07354366,10.29555657
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,cr,2,5,29.11786335,28.04530443,27.41638881,27.32698997,22.09274457,29.89081134
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,cr,2,5,23.6808406,23.49836697,22.59827918,22.46189951,16.378011,18.32831208
cr_2_misc_misc_misc_misc_misc_misc,cr,2,5,27.40846963,26.30082663,25.90326767,25.84156915,20.32128384,24.90838194
fe_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,fe,2,5,-10.38001942,-10.45055154,-10.92113384,-11.00973611,-18.33772473,-20.92432095
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,fe,2,5,6.254229017,4.82806194,4.1604164,4.04596733,-4.74272058,-7.65060192
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_cyanide_cyanide,fe,2,5,17.18930613,16.08998391,15.44298972,15.34741405,5.64005988,8.16767016
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_hydrogensulfide_hydrogensulfide,fe,2,5,6.482410479,7.341867,6.563566347,6.403211721,-4.8130017,-1.97351895
fe_2_misc_misc_misc_misc_misc_acetonitrile,fe,2,5,12.7606041,12.64934658,12.09039832,11.99148532,1.92394566,2.58283116
fe_2_misc_misc_misc_misc_misc_carbonyl,fe,2,5,13.82311031,15.32755926,14.66906282,14.54345966,2.6920179,7.42218828
fe_2_misc_misc_misc_misc_misc_cyanide,fe,2,5,23.46340211,22.79932083,22.19025962,22.08736353,8.75564703,13.15825719
fe_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide,fe,3,6,3.392676741,2.14733922,2.004568145,1.988170426,-1.82981916,-4.06249974
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_acetonitrile,fe,3,6,-3.331714144,-3.61759515,-3.906952561,-3.951625759,-9.48983373,-11.94841791
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_fluoride_fluoride,fe,3,6,10.54694963,9.02673135,8.661231875,8.610712637,2.80371468,-5.97577773
fe_3_misc_misc_misc_misc_acetonitrile_acetonitrile,fe,3,6,12.11529792,11.44452738,11.17889612,11.13613988,3.15512028,1.52359428
fe_3_misc_misc_misc_misc_water_water,fe,3,6,12.78595551,13.27309152,12.83246027,12.74178242,4.94540631,2.29794162
mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,mn,2,6,-28.97726973,-28.85730237,-28.96970196,-28.99216166,-36.49660911,-44.40449013
mn_2_carbonyl_carbonyl_carbonyl_carbonyl_phosphine_phosphine,mn,2,6,-7.406029898,-4.67745954,-4.91684833,-4.985989585,-17.58534024,-18.84475281
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,mn,3,5,-4.163227645,-4.87638021,-5.06184079,-5.090690104,-7.13729874,-7.21510998
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,mn,3,5,-4.077340352,-5.46121953,-5.806720261,-5.856700894,-8.43624444,-7.43724852
mn_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,mn,3,5,7.480691037,8.35341312,7.575438772,7.451883275,0.76116963,1.59011034
mn_3_misc_misc_misc_misc_acetonitrile_acetonitrile,mn,3,5,5.275162815,4.95858402,4.95200144,4.953075898,2.37449784,7.61608887
mn_3_misc_misc_misc_misc_misc_misc,mn,3,5,16.41406772,16.00840761,15.83436144,15.80688952,13.22602827,18.17519964
