#name_w_spin,Oxidation,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,3,205.7035,395.129,714.2464,728.261,1449.0,3270.0,4082.0,4430.0,33.0,64.0,112.0,100.0,176.0,388.0,422.0,520.0,13.5084,32.7656,46.9956,52.531,27.5513,39.8565,39.102,20.064,112.0,144.0,63.0,21.0,4.0,6.0,7.0,3.0,13.0,23.0,13.0,3.0,1.6424,2.5872,1.8429,0.8325,36.7666,62.169,78.204,40.128,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.665,7.872,8.262,3.876,10.032,42.5,45.0,21.0,10.5,1.0,0.5,1.5,1.0,1.5,2.0,1.5,0.5777,0.5698,0.2888,0.4162,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,-0.2,0.245,1.26,-0.5,0.5,9.0,-0.5,-1.5,0.0,0.01,-0.01,0.57,0.49,0.49,2.52,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,3.5344,33.37,30.4372,23.97,729.0,1107.0,1026.0,810.0,6.0,5.0,72.0,66.0,120.0,1.5876,5.6952,5.7708,4.851,-6.47,-4.91,-3.35,121.0,124.0,105.0,24.0,25.0,10.0,3.04,2.98,2.45
fe_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,2,171.9285,351.6084,665.106,1056.522,1132.0,2736.0,2994.0,2388.0,29.0,56.0,110.0,156.0,166.0,432.0,612.0,648.0,9.7733,26.0104,42.4822,52.03,36.7666,62.169,78.204,40.128,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.665,23.7616,40.128,29.04,0.0,52.0,42.0,6.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,0.9732,1.665,0.8214,0.0,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,9.2416,20.064,0.0,0.0,49.0,21.0,0.0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,0.5625,0.8325,0.0,0.0,0.49,0.49,2.52,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,2.52,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,1.14,0.0,0.0,3.3489,33.3792,57.645,9.333,676.0,1092.0,624.0,312.0,14.0,2.0,120.0,96.0,48.0,1.5625,5.625,7.475,1.925,-7.26,-5.88,-1.44,114.0,340.0,40.0,16.0,68.0,4.0,3.0,11.52,0.96
mn_3_carbonyl_carbonyl_carbonyl_carbonyl_misc_misc,3,149.2801,246.942,420.925,589.05,1273.0,2592.0,3620.0,3432.0,21.0,40.0,70.0,76.0,110.0,256.0,284.0,280.0,10.7533,25.3792,37.419,41.734,36.7666,64.668,82.173,33.66,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6722,1.7094,18.3361,17.544,0.0,0.0,100.0,96.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1258,1.1242,0.0,0.0,6.5025,7.752,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,6.5025,8.772,0.0,0.0,36.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,-0.49,0.0,1.05,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.02,0.0,1.2,-0.89,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.4025,23.715,30.752,7.905,625.0,900.0,1150.0,300.0,6.0,2.0,72.0,48.0,48.0,1.9321,6.4218,6.1438,2.1406,-6.0,-10.54,-2.0,114.0,104.0,38.0,24.0,28.0,4.0,3.72,3.92,1.24
mn_3_ammonia_ammonia_ammonia_ammonia_hydrogensulfide_hydrogensulfide,3,130.1217,259.612,494.3432,1013.408,1349.0,3296.0,3720.0,1624.0,23.0,44.0,90.0,160.0,134.0,384.0,622.0,584.0,8.4533,23.6904,41.3616,49.9944,16.3364,22.704,9.68,0.0,258.0,64.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,1.3142,1.5096,0.2738,0.0,23.7616,40.128,29.04,0.0,52.0,42.0,6.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,0.9732,1.665,0.8214,0.0,6.6564,11.352,0.0,0.0,256.0,32.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,9.2416,20.064,0.0,0.0,49.0,21.0,0.0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,0.5625,0.8325,0.0,0.0,0.76,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,2.52,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,1.14,0.0,0.0,2.4025,26.846,54.56,0.0,625.0,1500.0,400.0,0.0,16.0,0.0,132.0,96.0,0.0,1.9321,7.0056,8.2288,0.0,-8.02,-10.4,0.0,90.0,384.0,0.0,14.0,80.0,0.0,3.3,16.32,0.0
mn_2_ammonia_ammonia_ammonia_ammonia_water_water,2,140.4761,280.08,546.528,1119.36,965.0,2432.0,2440.0,1176.0,23.0,44.0,90.0,160.0,134.0,384.0,622.0,584.0,7.4383,21.2196,36.8666,43.9856,21.5136,30.272,9.68,0.0,66.0,32.0,2.0,0.0,3.0,4.0,2.0,0.0,6.0,8.0,2.0,0.0,0.8067,1.0804,0.2738,0.0,23.7616,40.128,29.04,0.0,52.0,42.0,6.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,0.9732,1.665,0.8214,0.0,11.8336,15.136,0.0,0.0,64.0,16.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.5329,0.5402,0.0,0.0,9.2416,20.064,0.0,0.0,49.0,21.0,0.0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,0.5625,0.8325,0.0,0.0,2.48,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,2.52,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,1.14,0.0,0.0,2.4025,29.512,54.56,0.0,625.0,1100.0,400.0,0.0,16.0,0.0,132.0,96.0,0.0,1.9321,6.1994,8.2288,0.0,-9.74,-10.4,0.0,106.0,384.0,0.0,14.0,80.0,0.0,3.88,16.32,0.0
fe_2_phosphine_phosphine_phosphine_phosphine_misc_misc,2,154.1465,295.6956,559.293,839.6916,1836.0,4512.0,5828.0,3912.0,29.0,56.0,110.0,156.0,166.0,432.0,612.0,648.0,12.0177,31.9016,53.2082,64.2124,36.7666,64.668,82.173,33.66,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6722,1.7094,19.3161,28.908,29.04,0.0,228.0,90.0,6.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.5343,2.3532,0.8214,0.0,6.5025,7.752,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,4.7961,14.454,0.0,0.0,225.0,45.0,0.0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,-0.49,0.0,1.05,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.02,0.0,1.2,-0.03,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,3.3489,25.3638,59.4384,9.333,676.0,1872.0,676.0,312.0,14.0,2.0,120.0,96.0,48.0,1.5625,7.225,7.425,1.925,-2.88,-6.86,-1.44,84.0,338.0,40.0,16.0,68.0,4.0,1.72,11.56,0.96
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_phosphine,3,205.5516,393.662,731.453,806.73,1473.0,3550.0,4316.0,4500.0,35.0,68.0,122.0,120.0,190.0,432.0,492.0,600.0,14.2614,35.976,52.2392,58.615,28.0414,45.5385,53.622,20.064,176.0,141.0,66.0,21.0,5.0,8.0,10.0,3.0,18.0,31.0,16.0,3.0,1.8466,3.2017,2.2536,0.8325,36.7666,62.169,78.204,40.128,124.0,192.0,126.0,42.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0502,3.6858,1.665,7.0189,11.103,3.876,10.032,137.0,43.5,21.0,10.5,2.0,0.5,1.5,5.0,5.5,2.0,1.5,0.8431,0.8771,0.2888,0.4162,9.2416,7.752,7.752,20.064,49.0,42.0,42.0,21.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,0.23,0.245,1.26,21.5,0.5,9.0,2.5,-1.5,0.0,1.025,-0.01,0.57,0.49,0.49,2.52,1.0,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,2.4025,26.9545,29.9925,19.7625,625.0,1250.0,825.0,750.0,8.0,5.0,84.0,78.0,120.0,1.9321,6.6859,6.8944,5.3515,-8.09,-6.95,-5.0,100.0,167.0,95.0,22.0,35.0,10.0,3.53,6.16,3.1
cr_2_misc_misc_misc_misc_carbonyl_carbonyl,2,186.4942,344.556,586.9798,654.024,1272.0,2736.0,3672.0,3936.0,29.0,56.0,98.0,92.0,154.0,344.0,376.0,440.0,12.5005,30.0608,43.8042,49.0028,18.3361,17.544,0.0,0.0,100.0,96.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1258,1.1242,0.0,0.0,36.7666,64.668,82.173,33.66,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6722,1.7094,6.5025,8.772,0.0,0.0,36.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5621,0.0,0.0,6.5025,7.752,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,-0.89,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,-0.49,0.0,1.05,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.02,0.0,1.2,2.7556,25.398,31.6064,16.932,576.0,864.0,1056.0,576.0,6.0,4.0,72.0,60.0,96.0,1.6129,5.8674,5.6642,3.9116,-5.34,-9.08,-3.56,108.0,100.0,72.0,24.0,26.0,8.0,3.0,3.16,2.0
mn_2_misc_misc_misc_misc_phosphine_phosphine,2,188.1011,361.686,642.3622,785.9256,1577.0,3696.0,4514.0,4500.0,33.0,64.0,118.0,132.0,182.0,432.0,524.0,608.0,13.6367,35.24,53.2644,60.3616,19.3161,28.908,29.04,0.0,228.0,90.0,6.0,0.0,4.0,6.0,6.0,0.0,12.0,18.0,6.0,0.0,1.5343,2.3532,0.8214,0.0,36.7666,64.668,82.173,33.66,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6722,1.7094,4.7961,14.454,0.0,0.0,225.0,45.0,0.0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,6.5025,7.752,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,-0.03,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,-0.49,0.0,1.05,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.02,0.0,1.2,2.4025,22.599,39.308,15.81,625.0,1350.0,850.0,600.0,10.0,4.0,96.0,84.0,96.0,1.9321,7.228,7.2558,4.2812,-5.28,-9.86,-4.0,96.0,216.0,76.0,20.0,46.0,8.0,3.14,8.68,2.48
fe_3_misc_misc_misc_misc_misc_hydrogensulfide,3,203.5183,402.1518,688.121,715.677,1554.0,3476.0,4206.0,4660.0,34.0,66.0,116.0,110.0,182.0,408.0,456.0,560.0,13.6717,33.7816,49.5718,54.62,26.5515,43.686,45.9265,16.83,191.0,134.0,61.0,18.0,4.5,7.0,8.0,3.0,15.0,26.0,14.0,3.0,1.7366,2.7645,1.973,0.8547,36.7666,64.668,82.173,33.66,124.0,204.0,120.0,36.0,6.0,10.0,14.0,6.0,24.0,44.0,26.0,6.0,2.159,4.0194,3.6722,1.7094,6.5794,9.552,3.2512,8.415,146.0,37.0,18.0,9.0,1.5,0.5,1.5,2.5,3.0,2.0,1.5,0.8166,0.6662,0.2964,0.4274,6.5025,7.752,6.5025,16.83,36.0,42.0,36.0,18.0,1.0,1.0,3.0,1.0,2.0,4.0,3.0,0.5929,0.5775,0.5929,0.8547,0.135,0.0,0.525,14.5,0.0,7.5,0.5,-1.5,0.0,0.66,0.0,0.6,-0.49,0.0,1.05,-1.0,0.0,15.0,-1.0,-3.0,0.0,0.02,0.0,1.2,3.3489,28.0539,35.868,23.3325,676.0,1196.0,962.0,780.0,7.0,5.0,78.0,72.0,120.0,1.5625,6.0875,5.6125,4.8125,-4.35,-6.79,-3.6,110.0,145.0,100.0,23.0,30.0,10.0,2.63,4.26,2.4
