#name_w_spin,metal,ox,spin,B3LYP/SVP,B3LYP/TZVP,B3LYP/QZVP,CBS,PWPB95,CASPT2/CC
cr_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,cr,2,5,-4.118410881,-5.26669143,-5.304611859,-5.29981598,-9.37060683,-11.94841791
cr_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,cr,2,5,-6.2845001,-8.35027557,-12.41288826,-13.26982539,-10.42168608,-11.93335767
cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc,cr,2,5,-8.005778855,-6.28576767,-6.333596482,-6.373243412,-10.71849831,-10.6174692
cr_2_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,cr,2,5,-5.747872373,-3.21410622,-3.430095162,-3.542290405,-6.75702768,-5.92243938
cr_2_phosphine_phosphine_phosphine_phosphine_phosphine_ammonia,cr,2,5,1.189878187,3.95268549,3.915731426,3.85079681,0.68084835,2.58157614
cr_2_water_water_water_water_ammonia_ammonia,cr,2,5,-23.33938731,-25.4894562,-19.57007907,-17.93485911,-21.26819643,-24.58019421
cr_2_water_water_water_water_carbonyl_carbonyl,cr,2,5,-3.454461375,-2.60291148,-3.148493774,-3.267955493,-9.96548631,-11.57944203
fe_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc_misc,fe,2,5,5.789244107,6.91453269,6.333326653,6.175090717,-3.12311727,-3.427459621
fe_2_water_water_water_water_water_chloride,fe,2,5,-19.22054972,-19.68812625,-19.98953185,-20.05746748,-25.34199135,-30.02258844
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,fe,3,6,-12.92253306,-12.75037569,-12.44943444,-12.3683173,-13.27309152,-14.92407033
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_misc,fe,3,6,-1.067595313,-1.64909628,-1.929762678,-1.993592467,-9.69251946,-14.80986351
mn_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,mn,2,6,-14.61083616,-13.42118388,-13.46372906,-13.48710637,-21.62524962,-27.53262876
mn_2_chloride_chloride_chloride_chloride_carbonyl_carbonyl,mn,2,6,-10.58202744,-12.94866885,-13.7647205,-13.92724206,-29.23945596,-34.52748273
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl,mn,2,6,-20.47065632,-16.55559633,-17.01637065,-17.19364439,-28.85353731,-33.66967656
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_phosphine,mn,2,6,-27.14974726,-20.79819144,-20.98991457,-21.15630726,-30.56350206,-36.0378993
mn_2_water_water_water_water_acetonitrile_acetonitrile,mn,2,6,-29.66276166,-28.8717351,-28.95860758,-28.98512229,-36.52923963,-44.84123709
mn_2_water_water_water_water_water_water,mn,2,6,-39.00026106,-39.03174951,-39.14605673,-39.17287025,-45.0865935,-53.76129174
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_acetonitrile,mn,3,5,-3.05439865,-3.79769052,-3.906588605,-3.92355927,-7.41277563,-6.08621949
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,mn,3,5,-7.677716627,-9.30346326,-9.232416578,-9.186641141,-12.03940686,-9.71071725
mn_3_ammonia_ammonia_ammonia_ammonia_phosphine_phosphine,mn,3,5,-3.639558,-3.02899077,-2.875589676,-2.842537371,-4.38503988,-6.5825799
mn_3_cyanide_cyanide_ammonia_ammonia_ammonia_ammonia,mn,3,5,-4.671705273,-3.8780118,-3.676417937,-3.640188557,-5.38152576,-9.50740401
mn_3_phosphine_phosphine_phosphine_phosphine_ammonia_ammonia,mn,3,5,-2.509782721,-0.00062751,0.247301691,0.272852736,-1.82354406,-2.92294158
mn_3_phosphine_phosphine_phosphine_phosphine_phosphine_chloride,mn,3,5,1.840505655,5.35077777,5.251637465,5.160219884,4.84374969,5.12299164
mn_3_water_water_water_water_fluoride_fluoride,mn,3,5,-19.87216866,-21.23995848,-21.49119466,-21.53077962,-24.99937089,-25.92557565
