#name_w_spin,metal,ox,spin,B3LYP/SVP,B3LYP/TZVP,B3LYP/QZVP,CBS,PWPB95,CASPT2/CC
cr_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,cr,2,3,-33.73451717,-33.0195762,-33.08603578,-33.10965039,-31.42005321,-30.77999301
cr_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,cr,2,3,-32.06072837,-31.34098695,-27.05104621,-26.12566997,-29.60780433,-28.05848214
cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc,cr,2,3,-27.62317845,-26.99736273,-27.20406452,-27.26836073,-25.06839699,-25.2572775
cr_2_phosphine_phosphine_phosphine_phosphine_hydrogensulfide_hydrogensulfide,cr,2,3,-26.65399553,-25.78124835,-25.89662234,-25.94695221,-23.41114308,-25.09224237
cr_2_phosphine_phosphine_phosphine_phosphine_phosphine_ammonia,cr,2,3,-30.85654295,-29.92406937,-29.93294236,-29.95352314,-28.77007848,-32.49748788
cr_2_water_water_water_water_ammonia_ammonia,cr,2,3,-24.41743694,-24.03802557,-29.8707875,-31.45960027,-27.19879344,-25.84211682
cr_2_water_water_water_water_carbonyl_carbonyl,cr,2,3,-20.09672311,-19.96234812,-19.4985241,-19.40531795,-22.17181083,-18.75376386
fe_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_misc_misc,fe,2,3,0.865311189,4.53815232,4.125589596,3.977029189,6.53551665,12.81940179
fe_2_water_water_water_water_water_chloride,fe,2,3,-3.362286432,-3.72678189,-4.259613181,-4.385207199,-3.14194257,-3.423067051
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_chloride,fe,3,4,12.09686168,11.23556655,10.60658818,10.44621496,7.68448746,7.12349352
fe_3_ammonia_ammonia_ammonia_ammonia_ammonia_misc,fe,3,4,10.72806784,10.24284573,10.11620166,10.0908683,10.94565693,12.99635961
mn_2_ammonia_ammonia_ammonia_ammonia_cyanide_cyanide,mn,2,4,-2.875219444,-4.89520551,-2.668567851,-2.122339658,-4.2294174,-5.11734405
mn_2_chloride_chloride_chloride_chloride_carbonyl_carbonyl,mn,2,4,11.30111624,9.19992411,8.728231118,8.643977032,7.36445736,12.66879939
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl,mn,2,4,2.154938366,5.01129486,4.723594075,4.608802107,0.50451804,6.40624959
mn_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_phosphine,mn,2,4,-8.485070993,-5.25916131,-5.475501657,-5.591724938,-9.25765503,-7.74472842
mn_2_water_water_water_water_acetonitrile_acetonitrile,mn,2,4,-6.284870331,-7.6367967,-7.698832339,-7.69813474,-10.45180656,-11.20419105
mn_2_water_water_water_water_water_water,mn,2,4,-11.42583386,-11.59512978,-10.79096944,-10.59560052,-12.82693191,-16.51543569
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_acetonitrile,mn,3,3,-49.05711282,-48.2178684,-47.87495301,-47.80014519,-37.72025361,-35.28300477
mn_3_ammonia_ammonia_ammonia_ammonia_ammonia_water,mn,3,3,-38.53766069,-38.28689514,-38.48815642,-38.54690629,-37.45293435,-35.70720153
mn_3_ammonia_ammonia_ammonia_ammonia_phosphine_phosphine,mn,3,3,-49.32352219,-47.87462043,-47.4050045,-47.29559536,-40.43297934,-36.6842346
mn_3_cyanide_cyanide_ammonia_ammonia_ammonia_ammonia,mn,3,3,-33.66203976,-33.99347172,-34.2856843,-34.34757543,-35.62499772,-35.64194049
mn_3_phosphine_phosphine_phosphine_phosphine_ammonia_ammonia,mn,3,3,-38.53198172,-37.84826565,-38.13603546,-38.23275416,-35.06839635,-35.18950578
mn_3_phosphine_phosphine_phosphine_phosphine_phosphine_chloride,mn,3,3,-30.54756958,-29.05936059,-29.38284827,-29.50075014,-26.68360773,-30.37901412
mn_3_water_water_water_water_fluoride_fluoride,mn,3,3,-36.18343142,-36.6403089,-36.93263443,-36.99015985,-38.42118228,-34.39445061
