,#name_w_spin,metal,Ox,spin,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,SSE
2,co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,co,3,3,-0.71675,-0.71382,-0.71213,-0.42282,-0.38824,1.03666,-0.48312,-0.48374,-0.48325,-0.4837,-0.46884,0.59098,0.1075471399999514,0.1699937999999292,0.4691007599999466,3.535931779999828,6.848655710000003,26.6062734
125,fe_2_acetonitrile_acetonitrile_ammonia_ammonia_ammonia_ammonia,fe,2,3,-0.57089,-0.5703,-0.51675,-0.49208,-0.4828,1.10355,-0.50765,-1.06616,-0.50766,-1.06607,-1.06949,-1.06858,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,9.363333989
430,mn_3_carbonyl_carbonyl_carbonyl_carbonyl_misc_misc,mn,3,3,-0.8647,-0.76493,-0.6533,-0.52223,-0.51314,0.33738,0.3201,0.3201,0.59368,0.59368,0.59367,0.59363,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-29.99553648
416,mn_3_ammonia_ammonia_ammonia_ammonia_hydrogensulfide_hydrogensulfide,mn,3,3,-0.84443,-0.84276,-0.84113,-0.76735,-0.62673,1.08149,-1.01772,-1.01935,-1.02101,-1.02027,0.45683,0.46138,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-41.46644438
324,mn_2_ammonia_ammonia_ammonia_ammonia_water_water,mn,2,4,-0.57049,-0.56651,-0.56234,-0.5228,-0.48844,1.24567,-1.09682,-1.09679,-1.09757,-1.09763,-0.92478,-0.9248,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,-11.32488005
191,fe_2_phosphine_phosphine_phosphine_phosphine_misc_misc,fe,2,3,-0.59384,-0.58203,-0.54863,-0.48264,-0.47717,0.5103,0.22985,0.22965,0.00271,0.0024,0.00215,0.00138,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,29.80341802
388,mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_phosphine,mn,3,3,-0.69007,-0.68692,-0.68631,-0.63735,-0.54607,0.9372,-0.45973,-0.501,-0.50389,-0.50994,-0.50547,0.31926,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-33.93061404
80,cr_2_misc_misc_misc_misc_carbonyl_carbonyl,cr,2,3,-0.51752,-0.50213,-0.50212,-0.4645,-0.31036,0.1994,0.34759,0.34756,0.34755,0.34751,0.51441,0.51433,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-20.97986186
364,mn_2_misc_misc_misc_misc_phosphine_phosphine,mn,2,4,-0.5386,-0.53853,-0.53378,-0.45536,-0.45487,0.68074,0.24409,0.24331,0.24257,0.24173,-0.02014,-0.02028,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,23.43869077
276,fe_3_misc_misc_misc_misc_misc_hydrogensulfide,fe,3,4,-0.69029,-0.65457,-0.64064,-0.39997,-0.39758,0.63622,0.28497,0.26772,0.27185,0.26806,0.26791,-0.07084,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,26.22418883
10,co_3_acetonitrile_acetonitrile_water_water_water_water,co,3,3,-0.80218,-0.79465,-0.78407,-0.78194,-0.77455,1.31829,-0.52819,-0.85397,-0.85361,-0.85522,-0.53821,-0.89423,0.1075471399999514,0.1699937999999292,0.4691007599999466,3.535931779999828,6.848655710000003,12.66695451
368,mn_2_phosphine_phosphine_phosphine_phosphine_chloride_chloride,mn,2,4,-0.29987,-0.29936,-0.29258,-0.23087,-0.18744,0.71875,-0.5775,-0.58004,0.01167,0.0097,0.00668,0.00878,0.1158027500000571,0.1931937399999697,1.8702169499999852,4.113007390000121,6.5720615800000814,1.481080478
141,fe_2_carbonyl_carbonyl_carbonyl_carbonyl_ammonia_ammonia,fe,2,3,-0.70408,-0.70312,-0.65489,-0.62317,-0.60014,0.80695,-1.08644,-1.08592,0.50264,0.50132,0.50154,0.50017,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,24.79474615
63,cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_carbonyl_carbonyl,cr,2,3,-0.61301,-0.589,-0.58796,-0.57521,-0.42797,0.26955,0.59028,0.59637,-0.10904,-0.10809,-0.25132,-0.25226,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-18.57934746
64,cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_chloride_chloride,cr,2,3,-0.20833,-0.19514,-0.1901,-0.17295,-0.06355,0.41504,-0.51274,-0.51348,-0.18442,-0.19535,-0.22177,-0.2376,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-20.08358933
61,cr_2_hydrogensulfide_hydrogensulfide_hydrogensulfide_hydrogensulfide_acetonitrile_acetonitrile,cr,2,3,-0.5293,-0.51756,-0.5087,-0.45603,-0.35738,0.63753,-0.48151,-0.47848,-0.16471,-0.16181,-0.24102,-0.26589,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-28.00513751
245,fe_3_carbonyl_carbonyl_carbonyl_carbonyl_ammonia_ammonia,fe,3,4,-0.95006,-0.86395,-0.82334,-0.57247,-0.54238,0.93718,-1.04042,-1.03874,0.53956,0.53977,0.54039,0.54028,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,17.16587491
434,mn_3_chloride_chloride_chloride_chloride_ammonia_ammonia,mn,3,3,-0.09684,-0.08683,-0.08623,-0.05306,0.02272,0.77414,-1.02483,-1.02469,-0.50352,-0.50172,-0.50709,-0.51148,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-37.02624638
155,fe_2_carbonyl_carbonyl_carbonyl_carbonyl_misc_misc,fe,2,3,-0.6832,-0.63696,-0.60528,-0.60525,-0.5556,0.49909,0.2204,0.22038,0.54746,0.54742,0.54743,0.54739,0.0914334600001893,0.1440907800001696,0.1694952400000602,2.663996020000013,5.352529350000168,36.48210735
53,cr_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,cr,2,3,-0.25435,-0.22622,-0.2262,-0.21085,-0.09091,0.0808,-0.38508,-0.3851,0.58724,0.58724,0.58711,0.5871,0.0518667199999072,0.1260516600000301,1.412543039999946,3.087393519999978,5.1110673900000165,-25.25210054
273,fe_3_misc_misc_misc_misc_misc_carbonyl,fe,3,4,-0.70876,-0.68977,-0.66459,-0.43145,-0.41475,0.63268,0.29145,0.27427,0.27427,0.27417,0.27422,0.56415,0.1389837900001111,0.2318402200000946,2.356429840000146,5.158340339999995,8.187347369999998,26.43254725
490,mn_3_water_water_water_water_cyanide_cyanide,mn,3,3,-0.51657,-0.49983,-0.4818,-0.44649,-0.31289,0.9301,-0.06326,-0.07274,-0.86095,-0.83767,-0.85399,-0.87,0.1034264000002167,0.1964461000000028,1.5805422900000394,3.7099794200000815,6.258933770000112,-31.77492894
